Task_ID,Task_Date,Machine_ID,Machine_Type,Machine_Age_yrs,Machine_Maintenance_Status,Operator_ID,Operator_Skill,Operator_Fatigue_Level,Task_Type,Task_Volume,Load_Weight_tons,Travel_Distance_m,Fuel_Consumption_L,Idle_Time_during_task_min,Site_Terrain,Site_Condition,Weather,Temperature_C,Humidity_Percent,Visibility,Shift_Time,Estimated_Time_min,Breakdown_During_Task,Delay_Reason,Actual_Time_min,Time_Deviation_Percent
TASK00011,2025-09-19,MC1004,Loader,5,Due Soon,OP1010,Intermediate,4.8,Trenching,199.0,1.7,722.7,5.4,3.8,Muddy,Dry,Windy,26.8,61.2,Poor,Afternoon,150.3,No,None,282.5,87.96
TASK00012,2025-01-08,MC1005,Loader,6,Good,OP1013,Intermediate,4.8,Material Loading,128.8,1.92,268.4,3.1,16.4,Rolling,,Hot,31.5,54.7,Moderate,Afternoon,59.0,No,,94.3,59.83
TASK00013,2025-09-07,MC1009,Bulldozer,9,Good,OP1010,Intermediate,2.0,Trenching,190.1,0.81,419.6,4.48,5.7,Rolling,Wet,Clear,,35.5,Poor,Morning,144.3,No,None,215.3,49.2
TASK00014,2025-10-28,MC1005,Loader,6,Good,OP1003,Beginner,2.6,Trenching,135.2,1.34,419.5,3.33,27.5,Rocky,Normal,Rainy,28.5,76.1,Good,Afternoon,107.0,No,,206.1,92.62
TASK00015,2025-11-30,MC1006,Loader,3,Good,OP1006,Beginner,1.1,Material Loading,184.2,5.06,326.4,5.68,20.0,Muddy,Dry,Hot,34.4,,Good,Afternoon,80.0,No,None,156.0,95.0
TASK00016,2025-02-16,MC1001,Excavator,1,Good,OP1013,Intermediate,1.6,Earth Excavation,145.7,,247.9,3.98,2.5,Rolling,Normal,Hot,36.3,55.0,Good,Afternoon,87.7,No,None,112.4,28.16
TASK00017,2025-10-26,MC1010,Excavator,10,Good,OP1002,Beginner,2.4,Grading,345.6,0.77,539.0,6.23,41.7,Muddy,Normal,Rainy,24.9,77.4,Good,Afternoon,169.5,No,None,564.7,233.16
TASK00018,2025-05-09,MC1010,Excavator,10,Good,OP1005,Beginner,4.9,Demolition,182.2,2.57,313.5,4.29,6.9,Steep,Normal,Clear,20.7,60.8,Moderate,Morning,160.1,No,None,284.6,77.76
TASK00019,2025-08-30,MC1008,Bulldozer,8,Good,OP1006,Beginner,,Trenching,160.6,1.07,414.5,3.99,4.2,Flat,,Windy,26.7,39.8,Moderate,Afternoon,124.2,No,,194.1,56.28
TASK00020,2025-06-29,MC1001,Excavator,1,Good,OP1013,Intermediate,3.2,Trenching,246.1,,237.6,3.51,3.9,Rocky,Dry,Hot,35.0,45.0,Poor,Morning,182.4,No,None,292.0,60.09
TASK00021,2025-06-04,MC1009,Bulldozer,9,Good,OP1011,Intermediate,3.2,Earth Excavation,215.9,2.69,191.3,5.24,7.9,Muddy,Wet,Clear,27.6,77.8,Poor,Afternoon,124.3,No,None,246.6,98.39
TASK00022,2025-10-03,MC1002,Excavator,2,Good,OP1013,Intermediate,4.3,Trenching,226.0,1.64,621.0,,5.0,Steep,Normal,Clear,27.4,79.2,Good,Afternoon,168.6,No,None,229.2,35.94
TASK00023,2025-10-18,MC1009,Bulldozer,9,Good,OP1003,Beginner,4.6,Grading,745.3,4.62,966.0,16.03,2.3,Muddy,Normal,Clear,26.3,82.5,Good,Afternoon,349.4,No,None,663.2,89.81
TASK00024,2025-05-14,MC1005,Loader,6,Due Soon,OP1007,Intermediate,1.0,Demolition,201.7,2.73,128.3,3.75,44.2,Rolling,Muddy,Cloudy,20.6,67.8,Good,Afternoon,175.3,No,None,292.0,66.57
TASK00025,2025-02-09,MC1004,Loader,5,Due Soon,OP1004,Beginner,5.6,Grading,699.0,4.32,535.1,11.08,23.7,Rocky,Muddy,Windy,27.2,72.4,Good,Afternoon,328.5,No,None,732.6,123.01
TASK00026,2025-02-14,MC1001,Excavator,1,Good,OP1013,Intermediate,5.8,Trenching,67.0,0.5,473.9,1.81,9.5,Rocky,Normal,Clear,23.2,61.2,Moderate,Morning,60.6,No,None,104.8,72.94
TASK00027,2025-08-13,MC1010,Excavator,10,Good,OP1007,Intermediate,1.3,Demolition,219.7,2.19,189.4,5.29,7.3,Flat,Dry,Rainy,24.0,91.6,Good,Morning,189.4,No,None,283.8,49.84
TASK00028,2025-05-27,MC1009,Bulldozer,9,Good,OP1002,Beginner,5.0,Grading,287.8,1.64,718.8,6.55,6.7,Rocky,Normal,Cloudy,23.4,,Good,Afternoon,143.5,No,None,250.9,74.84
TASK00029,2025-04-13,MC1002,Excavator,2,Overdue,OP1015,Expert,1.4,Demolition,174.0,1.37,217.3,3.23,29.9,Flat,Normal,Clear,28.0,87.5,Good,Morning,153.7,No,None,162.0,5.4
TASK00030,2025-09-05,MC1005,Loader,6,Due Soon,OP1003,Beginner,1.5,Grading,382.8,2.16,,6.82,7.8,Rocky,Muddy,Cloudy,27.7,81.5,Good,Morning,186.3,No,None,406.5,118.2
TASK00031,2025-12-12,MC1006,Loader,3,Due Soon,OP1012,Intermediate,4.3,Earth Excavation,104.2,1.65,271.8,,,Muddy,Normal,Clear,29.8,79.8,Poor,Night,66.2,No,None,130.8,97.58
TASK00032,2025-08-26,MC1005,Loader,6,Good,OP1012,Intermediate,2.5,Demolition,68.0,0.56,82.8,1.29,30.5,Rolling,Dry,Cloudy,23.3,68.5,,Morning,71.1,No,None,113.1,59.07
TASK00033,2025-07-24,MC1009,Bulldozer,9,Good,OP1007,Intermediate,2.1,Material Loading,559.4,9.09,316.0,16.07,64.6,Rocky,Normal,Rainy,26.0,63.4,Good,Morning,222.6,No,None,469.6,110.96
TASK00034,2025-11-05,MC1005,Loader,6,Due Soon,OP1013,Intermediate,6.3,Trenching,81.0,0.94,1019.6,3.96,3.1,Flat,Dry,Clear,31.0,51.8,Good,Night,70.1,No,None,101.7,45.08
TASK00035,2025-06-13,MC1005,Loader,6,Good,OP1017,Expert,5.8,Material Loading,549.4,13.54,290.1,14.31,5.3,Rocky,Normal,Clear,28.3,46.8,,Afternoon,218.8,Yes,Equipment Fault,460.8,110.6
TASK00036,2025-06-05,MC1006,Loader,3,Good,OP1017,Expert,3.5,Demolition,121.2,0.77,413.0,2.3,75.0,Rocky,Wet,Windy,32.6,77.1,Good,Night,112.6,No,None,242.3,115.19
TASK00037,2025-10-01,MC1008,Bulldozer,8,Due Soon,OP1002,Beginner,4.3,Earth Excavation,308.4,2.19,247.1,5.75,7.5,Rocky,Normal,Cloudy,29.4,75.4,Moderate,Morning,172.4,No,None,321.6,86.54
TASK00038,2025-09-17,MC1008,Bulldozer,8,Overdue,OP1005,Beginner,3.1,Demolition,171.3,1.09,218.4,3.78,7.4,Rolling,Wet,Clear,26.1,72.3,Moderate,Afternoon,151.6,No,None,292.0,92.61
TASK00039,2025-05-17,MC1002,Excavator,2,Due Soon,OP1006,Beginner,1.7,Trenching,75.5,0.7,,2.32,14.1,Steep,Normal,Clear,28.7,47.6,Moderate,Afternoon,66.4,No,None,114.3,72.14
TASK00040,2025-02-12,MC1005,Loader,6,Due Soon,OP1002,Beginner,1.0,Trenching,227.6,1.98,197.8,,2.1,Flat,Wet,Clear,26.5,61.1,Moderate,Morning,169.8,No,None,252.7,48.82
TASK00041,2025-04-24,MC1008,Bulldozer,8,Good,OP1006,Beginner,6.6,Demolition,204.5,2.02,164.1,4.35,54.6,Rocky,Normal,Cloudy,24.3,68.7,Moderate,Night,177.5,No,None,342.3,92.85
TASK00042,2025-02-26,MC1009,Bulldozer,9,Overdue,OP1018,Expert,4.8,Grading,222.6,1.35,836.4,6.43,45.0,Flat,Normal,Rainy,24.2,83.7,Good,Morning,114.2,No,,179.9,57.53
TASK00043,2025-01-03,MC1009,Bulldozer,9,Good,OP1009,Intermediate,1.2,Material Loading,487.9,5.09,306.2,11.8,28.7,Rolling,Wet,Rainy,24.8,88.9,Good,Morning,195.4,No,None,385.2,97.13
TASK00044,2025-05-31,MC1003,Excavator,4,Good,OP1012,Intermediate,4.8,Demolition,121.8,1.69,566.4,3.65,17.0,Muddy,Wet,Clear,21.6,73.0,Moderate,Afternoon,113.0,No,None,215.0,90.27
TASK00045,2025-10-27,MC1008,Bulldozer,8,Overdue,OP1011,Intermediate,6.1,Demolition,206.0,2.19,241.2,5.5,22.7,Rolling,Normal,Windy,28.0,67.7,Moderate,Afternoon,178.7,No,,301.9,68.94
TASK00046,2025-09-21,MC1010,Excavator,10,Good,OP1013,Intermediate,7.9,Material Loading,512.9,14.28,240.0,16.95,3.8,Rocky,Normal,Clear,23.8,48.3,Good,Night,204.9,No,None,406.0,98.15
TASK00047,2025-08-17,MC1007,Bulldozer,7,Good,OP1010,Intermediate,2.8,Earth Excavation,304.6,3.47,239.3,7.33,14.1,Steep,Normal,Windy,29.7,61.4,Moderate,Morning,170.4,No,None,270.8,58.92
TASK00048,2025-01-19,MC1001,Excavator,1,Good,OP1010,Intermediate,1.0,Grading,301.4,2.36,844.1,6.88,3.5,Rocky,Muddy,Hot,28.2,46.7,Moderate,Morning,149.6,No,None,263.2,75.94
TASK00049,2025-06-02,MC1009,Bulldozer,9,Good,OP1012,Intermediate,4.4,Material Loading,262.2,3.6,165.1,6.98,10.8,Flat,Normal,Windy,26.1,67.8,Good,Morning,109.6,No,None,156.4,42.7
TASK00050,2025-09-14,MC1008,Bulldozer,8,Good,OP1004,Beginner,3.4,Material Loading,375.8,9.3,455.5,13.23,9.3,Muddy,Wet,Clear,28.0,45.3,Moderate,Afternoon,152.8,Yes,Equipment Fault,409.0,167.67
TASK00051,2025-03-11,MC1004,Loader,5,Overdue,OP1015,Expert,3.2,Demolition,159.0,1.06,135.2,2.64,26.0,Flat,Normal,Rainy,28.6,79.8,Good,Night,142.0,No,None,185.2,30.42
TASK00052,2025-04-25,MC1002,Excavator,2,Good,OP1012,Intermediate,6.4,Grading,347.0,2.62,936.9,7.93,6.6,Flat,Wet,Windy,26.7,73.5,Good,Afternoon,170.1,No,None,229.2,34.74
TASK00053,2025-07-20,MC1002,Excavator,2,Good,OP1014,Expert,5.8,Earth Excavation,201.5,3.2,581.4,4.94,21.9,Flat,Wet,Cloudy,24.0,69.7,Poor,Morning,116.8,No,Weather,186.3,59.5
TASK00054,2025-04-27,MC1003,Excavator,4,Good,OP1016,Expert,5.2,Material Loading,288.4,3.11,566.9,6.7,5.3,,Loose,Clear,30.5,50.8,Good,Afternoon,119.6,No,None,143.5,19.98
TASK00055,2025-09-02,MC1009,Bulldozer,9,Good,OP1009,Intermediate,3.8,Material Loading,548.5,6.89,258.5,12.5,8.8,,Dry,Cloudy,,70.0,Good,Morning,218.4,No,None,249.5,14.24
TASK00056,2025-07-28,MC1001,Excavator,1,Good,OP1004,Beginner,2.0,Demolition,108.0,1.21,94.7,1.91,16.0,Flat,Dry,Cloudy,28.4,75.0,Good,Morning,102.3,No,Site Condition,146.6,43.3
TASK00057,2025-09-09,MC1006,Loader,3,Good,OP1014,Expert,5.8,Demolition,218.9,3.25,340.0,4.39,36.0,Muddy,Wet,Clear,33.3,68.8,Poor,Morning,188.7,No,,311.3,64.97
TASK00058,2025-09-14,MC1006,Loader,3,Good,OP1002,Beginner,3.2,Demolition,67.0,0.92,266.6,1.62,13.5,Rocky,Dry,Windy,23.0,60.9,Moderate,Afternoon,70.3,No,None,136.9,94.74
TASK00059,2025-03-15,MC1004,Loader,5,Due Soon,OP1020,Expert,2.9,Earth Excavation,416.8,4.11,424.5,7.75,6.9,Muddy,Muddy,Cloudy,24.0,67.0,Moderate,Morning,228.7,No,None,355.8,55.57
TASK00060,2025-12-12,MC1001,Excavator,1,Good,OP1005,Beginner,2.9,Grading,464.2,2.0,,8.18,6.7,Rolling,Muddy,Cloudy,25.1,64.0,Good,Night,222.9,No,None,430.9,93.32
TASK00061,2025-10-15,MC1010,Excavator,10,Due Soon,OP1019,Expert,2.9,Demolition,159.0,1.95,243.1,,17.2,Flat,Muddy,Clear,34.0,42.3,Moderate,,142.0,No,None,216.8,52.68
TASK00062,2025-10-17,MC1006,Loader,3,Good,OP1019,Expert,3.4,Earth Excavation,98.4,1.51,551.0,2.66,7.5,Rocky,Loose,Clear,31.7,49.9,Moderate,Morning,63.2,No,None,53.9,-14.72
TASK00063,2025-01-24,MC1009,Bulldozer,9,Good,OP1014,Expert,1.2,Earth Excavation,115.7,1.87,249.6,3.78,2.6,Flat,Loose,Rainy,22.8,77.6,Moderate,Morning,72.2,No,None,102.4,41.83
TASK00064,2025-01-15,MC1010,Excavator,10,Good,OP1004,Beginner,6.7,Earth Excavation,371.1,,188.3,8.94,23.1,Rocky,Muddy,Cloudy,24.7,57.3,Good,Night,205.0,No,None,536.1,161.51
TASK00065,2025-12-19,MC1006,Loader,3,Good,OP1017,Expert,1.7,Material Loading,393.5,10.65,358.4,10.37,31.7,Steep,Loose,Cloudy,29.6,72.6,Good,Morning,159.5,No,None,242.8,52.23
TASK00066,2025-09-24,MC1001,Excavator,1,Good,OP1017,Expert,7.0,Grading,754.9,3.7,436.9,12.0,28.3,Flat,Muddy,Clear,30.5,55.5,Good,Night,353.7,No,Material Availability,566.8,60.25
TASK00067,2025-08-14,MC1006,Loader,3,Due Soon,OP1013,Intermediate,,Material Loading,114.2,2.36,322.3,3.08,7.2,Rolling,Dry,Clear,22.4,55.3,Good,Morning,53.4,No,None,71.4,33.71
TASK00068,2025-07-23,MC1005,Loader,6,Good,OP1010,Intermediate,1.3,Grading,705.3,3.88,581.9,11.0,6.7,Rocky,Normal,Cloudy,28.6,51.4,Moderate,Afternoon,331.4,No,None,428.5,29.3
TASK00069,2025-02-05,MC1009,Bulldozer,9,Overdue,OP1013,Intermediate,3.6,Demolition,68.0,0.5,232.7,2.1,31.4,Muddy,Normal,Rainy,24.9,79.0,Good,Afternoon,71.1,No,None,171.7,141.49
TASK00070,2025-01-20,MC1001,Excavator,1,Good,OP1009,Intermediate,1.0,Demolition,210.6,1.9,211.1,3.26,34.1,Flat,Normal,Cloudy,20.8,74.1,Good,Morning,182.3,No,None,204.7,12.29
TASK00071,2025-02-25,MC1010,Excavator,10,Due Soon,OP1017,Expert,4.7,Demolition,169.4,1.81,336.0,4.25,16.6,Steep,Wet,Clear,33.3,52.5,Moderate,Afternoon,150.1,No,None,206.0,37.24
TASK00072,2025-05-16,MC1008,Bulldozer,8,Good,OP1006,Beginner,5.5,Grading,373.0,2.53,662.9,8.71,5.4,Flat,,Windy,30.5,68.4,Good,Night,181.8,No,None,307.7,69.25
TASK00073,2025-09-08,MC1009,Bulldozer,9,Good,OP1012,Intermediate,1.0,Grading,405.7,2.62,483.0,8.82,8.9,Rocky,Normal,Clear,31.0,55.3,Good,Morning,196.6,No,None,265.9,35.25
TASK00074,2025-01-08,MC1004,Loader,5,Good,OP1017,Expert,,Demolition,107.8,0.65,385.2,2.27,13.6,Muddy,Muddy,Cloudy,25.2,70.1,Good,Afternoon,102.1,No,,164.5,61.12
TASK00075,2025-01-04,MC1001,Excavator,1,Due Soon,OP1002,Beginner,7.0,Material Loading,224.3,3.11,256.8,4.48,2.8,Rolling,Dry,Clear,27.8,53.2,Moderate,Night,95.2,No,None,172.9,81.62
TASK00076,2025-06-09,MC1002,Excavator,2,Overdue,OP1017,Expert,3.6,Demolition,121.8,1.89,311.0,3.47,20.4,Muddy,Loose,Clear,23.6,47.0,Good,Morning,113.0,No,None,177.7,57.26
TASK00077,2025-09-16,MC1007,Bulldozer,7,Due Soon,OP1001,Beginner,4.2,Demolition,48.9,0.5,326.1,2.02,27.6,Flat,,Cloudy,,71.1,Moderate,Night,56.2,No,None,101.5,80.6
TASK00078,2025-01-25,MC1010,Excavator,10,Good,OP1018,Expert,5.5,Trenching,182.6,0.88,451.3,4.01,5.8,,Wet,Clear,30.2,52.1,Good,Morning,139.2,No,None,217.8,56.47
TASK00079,2025-07-02,MC1001,Excavator,1,Due Soon,OP1018,Expert,4.7,Material Loading,513.4,11.15,214.1,,21.0,Flat,Loose,Cloudy,30.1,42.9,Good,Afternoon,205.1,No,None,259.2,26.38
TASK00080,2025-04-05,MC1006,Loader,3,Good,OP1007,Intermediate,1.2,Earth Excavation,437.5,6.73,142.8,9.12,24.3,Steep,Dry,Rainy,24.7,83.2,Moderate,Morning,239.5,No,None,397.5,65.97
TASK00081,2025-01-28,MC1001,Excavator,1,Good,OP1017,Expert,5.1,Earth Excavation,302.5,5.64,382.4,6.06,8.7,Flat,Loose,Clear,26.4,59.3,Good,,169.3,No,None,184.9,9.21
TASK00082,2025-04-21,MC1004,Loader,5,Good,OP1002,Beginner,,Material Loading,591.7,9.86,199.6,10.42,25.8,,Muddy,Clear,36.7,51.4,Moderate,Afternoon,234.8,No,None,411.9,75.43
TASK00083,2025-02-23,MC1002,Excavator,2,Good,OP1004,Beginner,1.0,Grading,492.4,1.1,383.9,6.53,8.7,Flat,Normal,Clear,37.0,83.5,Good,Morning,235.6,No,None,293.8,24.7
TASK00084,2025-11-07,MC1009,Bulldozer,9,Good,OP1019,Expert,3.5,Grading,364.3,1.1,686.0,8.49,4.5,Muddy,Normal,Hot,37.9,57.3,Good,Morning,177.9,No,None,223.5,25.63
TASK00085,2025-12-08,MC1003,Excavator,4,Due Soon,OP1020,Expert,1.3,Material Loading,486.7,12.43,504.1,12.57,8.5,Rocky,Dry,Clear,29.5,45.0,Poor,Morning,195.0,No,None,321.3,64.77
TASK00086,2025-02-02,MC1009,Bulldozer,9,Good,OP1010,Intermediate,2.5,Trenching,137.4,0.91,714.5,4.24,7.8,Muddy,Wet,Cloudy,22.5,64.0,Moderate,Morning,108.4,No,,193.0,78.04
TASK00087,2025-07-13,MC1004,Loader,5,Good,OP1001,Beginner,7.0,Demolition,131.3,1.01,252.7,2.56,29.1,Flat,Wet,Windy,21.6,78.2,Moderate,Afternoon,120.4,No,None,209.2,73.75
TASK00088,2025-10-31,MC1008,Bulldozer,8,Good,OP1002,Beginner,1.4,Earth Excavation,352.8,6.0,530.2,9.25,10.1,Rolling,Muddy,Clear,26.5,65.8,Good,Morning,195.5,No,,288.4,47.52
TASK00089,2025-12-03,MC1002,Excavator,2,Good,OP1019,Expert,3.4,Trenching,166.4,0.69,491.4,3.23,13.7,Muddy,Muddy,Windy,31.6,36.8,Good,Morning,128.1,No,None,206.0,60.81
TASK00090,2025-01-13,MC1009,Bulldozer,9,Good,OP1008,Intermediate,4.5,Demolition,92.5,,398.0,2.77,35.1,Flat,Loose,Hot,33.4,34.9,Good,Morning,90.1,No,None,135.5,50.39
TASK00091,2025-08-23,MC1004,Loader,5,Due Soon,OP1003,Beginner,5.2,Trenching,213.5,,229.3,3.47,4.2,Flat,Wet,Hot,39.2,60.1,Moderate,Morning,160.2,No,None,270.8,69.04
TASK00092,2025-04-29,MC1009,Bulldozer,9,Good,OP1020,Expert,6.5,Earth Excavation,369.5,4.36,219.3,9.37,27.3,Muddy,Loose,Windy,,76.6,Moderate,Night,204.2,No,None,406.5,99.07
TASK00093,2025-09-25,MC1003,Excavator,4,Good,OP1015,Expert,2.5,Trenching,196.5,1.35,304.9,,11.7,Rolling,Normal,Clear,28.3,34.4,Good,Morning,148.6,No,None,158.3,6.53
TASK00094,2025-09-22,MC1010,Excavator,10,Good,OP1001,Beginner,1.1,Trenching,191.4,0.96,,4.06,6.6,Steep,Wet,Clear,,62.8,Good,Afternoon,145.1,No,None,230.0,58.51
TASK00095,2025-09-20,MC1002,Excavator,2,Due Soon,OP1004,Beginner,1.0,Material Loading,288.3,,407.9,8.3,9.3,Rocky,Loose,Clear,33.5,56.6,Good,Morning,119.5,Yes,Equipment Fault,274.3,129.54
TASK00096,2025-12-02,MC1008,Bulldozer,8,Good,OP1010,Intermediate,7.1,Material Loading,130.0,1.92,510.3,4.05,6.6,Muddy,Muddy,Clear,26.6,54.8,Good,Night,59.4,No,None,132.2,122.56
TASK00097,2025-04-22,MC1001,Excavator,1,Good,OP1012,Intermediate,7.1,Trenching,81.2,0.5,855.9,3.07,10.8,Muddy,Wet,Windy,26.6,60.7,Moderate,Night,70.2,No,,309.1,340.31
TASK00098,2025-03-02,MC1005,Loader,6,Good,OP1020,Expert,3.0,Material Loading,466.6,9.23,109.9,,6.9,Rolling,Loose,Clear,26.6,65.8,Good,Morning,187.3,No,None,218.2,16.5
TASK00099,2025-10-15,MC1006,Loader,3,Overdue,OP1003,Beginner,3.6,Demolition,118.6,0.69,224.1,2.13,6.2,Steep,Wet,Cloudy,26.0,66.9,Good,Morning,110.5,No,None,195.5,76.92
TASK00100,2025-09-20,MC1006,Loader,3,Good,OP1001,Beginner,3.7,Earth Excavation,354.9,4.19,528.5,6.9,8.2,Rolling,Dry,Hot,34.1,35.1,Good,Afternoon,196.6,No,None,274.0,39.37
TASK00101,2025-09-06,MC1010,Excavator,10,Due Soon,OP1016,Expert,6.2,Demolition,158.7,1.39,235.3,3.75,31.6,Rocky,Normal,Rainy,19.5,89.2,Good,Afternoon,141.7,No,None,264.9,86.94
TASK00102,2025-02-19,MC1009,Bulldozer,9,Due Soon,OP1010,Intermediate,,Trenching,77.3,0.5,268.9,2.33,1.0,Rocky,Normal,Rainy,20.2,87.7,Good,,67.6,No,None,111.2,64.5
TASK00103,2025-05-03,MC1005,Loader,6,Due Soon,OP1013,Intermediate,3.6,Trenching,113.1,0.5,341.2,2.53,6.0,Rolling,Loose,Rainy,23.6,71.9,,Morning,91.9,No,None,118.2,28.62
TASK00104,2025-06-18,MC1003,Excavator,4,Good,OP1005,Beginner,,Grading,839.8,6.9,1191.0,16.96,37.3,Rolling,Wet,Rainy,20.2,73.7,Good,Morning,391.9,No,None,751.0,91.63
TASK00105,2025-08-20,MC1010,Excavator,10,Good,OP1002,Beginner,3.9,Material Loading,487.1,10.97,414.5,14.07,7.7,Rocky,Normal,Clear,33.0,55.0,Good,Afternoon,195.1,No,None,314.0,60.94
TASK00106,2025-05-11,MC1009,Bulldozer,9,Good,OP1018,Expert,2.3,Material Loading,330.0,4.11,171.0,8.03,11.9,Rolling,Dry,Cloudy,31.5,62.1,,Afternoon,135.4,No,None,168.8,24.67
TASK00107,2025-04-30,MC1005,Loader,6,Good,OP1004,Beginner,5.2,Earth Excavation,120.2,1.15,,2.57,6.6,,Dry,Hot,37.4,61.2,Good,Night,74.5,No,None,117.5,57.72
TASK00108,2025-12-30,MC1007,Bulldozer,7,Good,OP1015,Expert,1.0,Material Loading,385.8,7.37,280.3,10.91,14.8,Steep,Normal,Windy,21.1,55.7,Good,Morning,156.6,No,None,244.6,56.19
TASK00109,2025-06-11,MC1005,Loader,6,Good,OP1019,Expert,2.7,Earth Excavation,390.8,6.07,285.2,9.26,11.6,Muddy,Normal,Clear,37.6,,Moderate,Afternoon,215.2,No,None,310.7,44.38
TASK00110,2025-07-24,MC1001,Excavator,1,Overdue,OP1017,Expert,3.5,Grading,394.9,1.75,699.3,6.44,6.1,Steep,Loose,Clear,32.7,70.2,Moderate,Afternoon,191.7,No,None,279.4,45.75
TASK00111,2025-04-15,MC1008,Bulldozer,8,Good,OP1008,Intermediate,4.6,Grading,783.6,5.12,596.5,14.56,10.9,Rocky,Loose,Cloudy,28.7,49.5,,Afternoon,366.6,No,None,584.7,59.49
TASK00112,2025-04-07,MC1002,Excavator,2,Good,OP1019,Expert,5.3,Earth Excavation,232.0,3.04,273.8,4.69,19.1,Muddy,Wet,Clear,26.7,42.8,Good,Night,132.6,No,None,229.1,72.78
TASK00113,2025-11-20,MC1010,Excavator,10,Due Soon,OP1006,Beginner,2.6,Material Loading,391.6,8.45,252.7,10.32,15.7,Flat,Muddy,Cloudy,25.5,66.1,Good,Afternoon,158.8,No,None,261.1,64.42
TASK00114,2025-03-31,MC1004,Loader,5,Overdue,OP1002,Beginner,4.8,Demolition,69.7,0.54,184.1,1.54,51.5,Flat,Wet,Clear,26.6,59.2,Good,Night,72.4,Yes,Equipment Fault,262.8,262.98
TASK00115,2025-12-07,MC1007,Bulldozer,7,Overdue,OP1020,Expert,7.5,Earth Excavation,407.9,,181.5,8.06,19.4,Rocky,,Clear,,39.9,Moderate,Morning,224.1,No,None,325.2,45.11
TASK00116,2025-02-01,MC1006,Loader,3,Good,OP1016,Expert,5.7,Grading,791.3,4.35,735.9,10.23,9.9,Rocky,Dry,Cloudy,21.7,80.9,Good,Afternoon,370.1,No,None,522.7,41.23
TASK00117,2025-02-13,MC1004,Loader,5,Overdue,OP1012,Intermediate,5.6,Material Loading,513.6,10.16,379.2,12.9,19.1,,Normal,Hot,34.2,35.4,Poor,Morning,205.2,No,None,365.8,78.27
TASK00118,2025-04-11,MC1003,Excavator,4,Good,OP1014,Expert,2.4,Material Loading,239.9,4.1,240.3,5.52,15.6,Rolling,Dry,Clear,20.6,58.2,,Afternoon,101.2,No,None,121.7,20.26
TASK00119,2025-01-19,MC1010,Excavator,10,Good,OP1019,Expert,3.1,Grading,667.7,1.78,891.8,11.08,4.5,Steep,Normal,Cloudy,26.0,55.5,Good,Night,314.5,No,None,412.7,31.22
